tipo_doc;ano_doc;numero_doc;numero_termo;nome_responsavel;data_doc;data_pub;data_email_ar;dilacao;dilacao_dias;sei_doc;observacoes
Relatório de Inconsistências;2021;1;TCV/119/2012/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;2;TCV/099/2012/SMPP/FUMCAD;Laís Vitória;15/02/2021;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;3;TCV/151/2010/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;4;TCV/049/2014/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;5;TCV/144/2011/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;6;TCV/044/2014/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;7;TCV/054/2012/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;8;TCV/050/2013/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;9;TCV/024/2017/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;10;TCV/150/2011/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;11;TCV/020/2016/SMDHC/FUMCAD;Luana Ramos;15/02/2021;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;12;TCV/044/2017/SMDHC/FUMCAD;Luana Ramos;24/02/2021;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;13;TCV/003/2013/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;14;TCV/046/2017/SMDHC/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;15;TCV/222/2011/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;16;TCV/129/2012/SMPP/FUMCAD;-;;;;false;0;;Sem Informações
Relatório de Inconsistências;2021;17;TCV/042/2016/SMDHC/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;18;TCV/077/2011/SMPP/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;19;TCV/038/2013/SMDHC/FUMCAD;Laís Vitória;10/03/2021;;;false;0;;
Relatório de Inconsistências;2021;20;TCV/036/2013/SMDHC/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;21;TCV/057/2009/SMPP/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;22;TCV/021/2010/SMPP/FUMCAD;Luana Ramos;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;23;TCV/057/2010/SMPP/FUMCAD;Luana Ramos;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;24;TCV/054/2011/SMPP/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;25;TCV/067/2012/SMPP/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;26;TCV/111/2015/SMDHC/FUMCAD;Laís Vitória;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;27;TCV/043/2013/SMDHC/FUMCAD;Luana Ramos;10/03/2021;;;false;0;;
Relatório de Inconsistências;2021;28;TCV/013/2013/SMDHC/FUMCAD;Luana Ramos;30/07/2021;;;false;0;;
Relatório de Inconsistências;2021;29;TCV/013/2013/SMDHC/FUMCAD;Luana Ramos;30/07/2021;;;false;0;;
Relatório de Inconsistências;2021;30;TCV/039/2011/SMPP/FUMCAD;Laís Vitória;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;31;TCV/039/2011/SMPP/FUMCAD;Laís Vitória;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;32;TCV/013/2014/SMDHC/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;33;TCV/033/2017/SMDHC/FUMCAD;Luana Ramos;28/07/2021;;;false;0;;
Relatório de Inconsistências;2021;34;TCV/047/2011/SMPP/FUMCAD;-;;;;false;0;;
Relatório de Inconsistências;2021;35;TCV/073/2015/SMDHC/FUMCAD;Laís Vitória;15/02/2021;;;false;0;;
Relatório de Inconsistências;2021;36;TCV/111/2012/SMPP/FUMCAD;-;;;;false;0;;
