numero_termo,osc,projeto,tipo_termo,portaria,cnpj,inicio,final,meses,total_previsto,total_pago,conta,transicao,sei_celeb,sei_pc,endereco,sei_plano,sei_orcamento,contrapartida
TCV/002/2006/SEPP/CPLGBTI,"Associação da Parada do Orgulho de Gays, Lésbicas, Bissexuais e Transgêneros de São Paulo",Comemoração dos 10 Anos da Parada do Orgulho LGBT de São Paulo,Convênio,,3308310000000,2006-10-09,2006-11-10,2,150000.0,150000.0,,,,6074200000000000,,,,
TCV/002/2007/CADS/CPLGBTI,Associação Cultural Mix Brasil,XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual,Convênio,,4127580000000,2007-10-30,2007-11-22,2,130000.0,130000.0,,,,6074200000000000,,,,
TCV/001/2008/SMPP/CPLGBTI,ACESD: Associação Cultural Educacional e Social Dynamite,Virada LGBT - Retrospectiva de Teatro,Convênio,,7157970000000,2008-01-23,2008-02-26,2,22700.0,22700.0,,,,6074200000000000,,,,
TCV/002/2008/SEPP/CPLGBTI,ACESD: Associação Cultural Educacional e Social Dynamite,Virada Musical GLBTTT,Convênio,,7157970000000,,,0,0.0,0.0,,,,6074200000000000,,,,
TCV/003/2008/SMPP/CPLGBTI,ACESD: Associação Cultural Educacional e Social Dynamite,Virada GLBTTT - Retrospectiva de Cinema,Convênio,,7157970000000,2008-01-23,2008-02-26,2,19000.0,19000.0,,,,6074200000000000,,,,
TCV/005/2008/SMPP/CPLGBTI,Cooperativa Paulista de Teatro,Virada Cultural da Diversidade Humana,Convênio,,51561800000000,2008-01-23,2008-02-26,2,29030.0,29030.0,,,,6074200000000000,,,,
TCV/006/2008/SMPP/CPLGBTI,Associação Mais Diferenças,A Soma de Nós,Convênio,,7844640000000,2008-01-23,2008-02-26,2,10000.0,10000.0,,,,6074200000000000,,,,
TCV/008/2008/SMPP/CPLGBTI,Centro Informação Mulher,Almas em Corpos Nus,Convênio,,53454600000000,2008-01-28,2008-01-29,1,24500.0,24500.0,,,,6074200000000000,,,,
TCV/163/2009/CADS/CPLGBTI,Associação Cultural Mix Brasil,XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual,Convênio,,4127580000000,2009-11-11,2009-11-22,1,99490.0,99490.0,,,,6074200000000000,,,,
TCV/113/2010/SMPP/CONPARES,INDESC: Instituto Nacional de Desenvolvimento Social e Cultural,Programa Escola Estufa Lucy Montoro,Convênio,,07393987000109,2010-09-01,2011-09-30,13,1437153.0,1437153.0,,,6074200000000000,6074200000000000,,,,
TCV/189/2010/SMPP/CPLGBTI,Associação Cultural Mix Brasil,18° Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual,Convênio,,4127580000000,2010-11-10,2011-02-01,4,98000.0,98000.0,,,,6074200000000000,,,,
TCV/001/2011/SMPP/CPD,SPDM - Associação Paulista para o Desenvolvimento da Medicina,Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL,Convênio,,61699600000000,2011-04-28,2012-04-26,13,3438431.0,3438431.0,,,,6074200000000000,,,,
TCV/206/2011/SMPP/CPD,Pró-Saúde - Associação Beneficente de Assistência Social e Hospitalar,Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL,Convênio,,24232900000000,2012-02-01,2013-03-31,14,4268941.83,4268941.83,,,6074200000000000,6074200000000000,,,,
TCV/042/2012/SMPP/CPJ,Associação Frida Kahlo,Semana do Hip Hop 2012,Convênio,,8278770000000,2012-03-19,2012-04-28,2,99750.0,99750.0,,,,6074200000000000,,,,
TCV/001/2013/SMPIR/CPIR,UPM: União Popular de Mulheres de Campo Limpo e Adjacências,"Afrobrasilidade, Cultura e Educação na Urbanidade",Convênio,,57395700000000,2013-10-18,2013-11-09,2,12000.0,12000.0,,,,6074200000000000,,,,
TCV/002/2013/SMPIR/CPIR,UPM: União Popular de Mulheres de Campo Limpo e Adjacências,Áreas de Conflito em Transformação,Convênio,,57395700000000,2013-10-18,2013-11-17,2,22000.0,22000.0,,,,6074200000000000,,,,
TCV/087/2013/SMDHC/CPJ,UPM: União Popular de Mulheres de Campo Limpo e Adjacências,Percursos em Defesa da Diversidade Cultural,Convênio,,57395700000000,2013-11-20,2014-04-19,6,100000.0,100000.0,,,,6074200000000000,,,,
TCV/088/2013/SMDHC/CPJ,Associação Franciscana de Direitos e Formação Popular,Jovens Promotores de Direitos Humanos e Diversidade,Convênio,,11140600000000,2013-12-16,2014-08-13,9,77946.0,77946.0,,,,6074200000000000,,,,
TCV/089/2013/SMDHC/DEDH,Instituto Vladimir Herzog,Respeitar é preciso!,Convênio,,11150900000000,2013-12-01,2015-11-30,24,349600.0,349600.0,,,,201400000000,,,,
TCV/106/2013/SMDHC/CPDDH,Intervozes - Coletivo Brasil de Comunicação Social,Comunica DH,Convênio,,6040910000000,2014-01-21,2014-09-30,9,70568.0,70568.0,,,,6074200000000000,,,,
TCV/107/2013/SMDHC/CPDDH,OKBR: Open Knowledge Foundation Brasil,Comunica DH,Convênio,,1913120000000,2013-12-20,2014-06-20,7,71970.0,71970.0,,,,6074200000000000,,,,
TCV/108/2013/SMDHC/CPLGBTI,USCS: Universidade Municipal de São Caetano do Sul,Formando para Diversidade,Convênio,,44392200000000,2013-12-02,2014-12-01,13,60000.0,60000.0,,,,6074200000000000,,,,
TCV/019/2014/SMDHC/CPCA,CEDECA: Centro de Defesa dos Direitos Humanos da Criança e Adolescente Interlagos,Projeto Oficina,Convênio,,3129200000000,2014-07-01,2015-06-30,12,510434.94,510434.94,,,,6074200000000000,,,,
TCV/054/2014/SMDHC/CPPI,ABRAPEFE: Associação Brasileira dos Profissionais de Educação Física e Esporte,Jogos Municipais dos Idosos - JOMI,Convênio,,13117400000000,2014-10-28,2015-12-27,15,486000.0,486000.0,,,6074200000000000,6074200000000000,,,,
TCV/057/2014/SMDHC/CPDDH,Associação Rede Cidadã Multicultural,Capacitação de Entidades,Convênio,,11223900000000,2014-11-01,2015-10-30,12,272000.0,272000.0,,,6074200000000000,6074200000000000,,,,
TCV/058/2014/SMDHC/CPDDH,Instituto de Educação e Direitos Humanos Paulo Freire,Formação de Conselheiros em Direitos Humanos e Participação Social,Convênio,,4950600000000,2015-01-01,2015-12-31,12,584241.0,584241.0,,,6074200000000000,6074200000000000,,,,
TCV/059/2014/SMDHC/CPLGBTI,Associação Cultural Mix Brasil,22° Festival Mix Brasil de Cultura da Diversidade,Convênio,,4127580000000,2014-10-28,2015-04-28,7,150000.0,150000.0,,,,6074200000000000,,,,
TCV/060/2014/SMDHC/CPLGBTI,Associação Rede Cidadã Multicultural,Gestão do Centro de Cidadania LGBT e Unidade Móvel de Cidadania LGBT,Convênio,,11223900000000,2014-10-28,2016-04-27,19,799600.0,799600.0,,,6074200000000000,6074200000000000,,,,
TCV/061/2014/SMDHC/SME,SME: Secretaria Municipal de Educação,-,Convênio,,46392100000000,2014-10-24,2016-04-23,19,0.0,0.0,,,,,,,,
TCV/093/2014/SMDHC/CPPSR,OAF: Organização Auxílio Fraterno,"Implantação de um Espaço Coletivo Estratégico que Permita a Pessoas em Situação de Rua Desfrutar de Seus Direitos Econômicos, Sociais e Culturais, Assim Como Efetivar o seu Direito ao Desenvolvimento",Convênio,,60907800000000,2015-01-02,2015-05-01,5,539735.69,539735.69,,,,6074200000000000,,,,
TCV/104/2014/SMDHC/CPJ,Associação Cultural e Artística Cine Favela,A Promoção da Cultura de Paz Associada à Valorização da Herança Africana na Cultura Brasileira,Convênio,,6373010000000,2015-05-20,2016-01-18,9,50000.0,50000.0,,,,6074200000000000,,,,
