Número do Termo;Nome da Organização;Nome do Projeto;Tipo de Termo;Portaria que Rege;CNPJ da OSC;Data de Início;Data de Encerramento;Vigência em Meses;Total do Projeto;Valor Repassado;Conta Específica Prevista;É transição?;Processo SEI de Celebração;Processo SEI de Prestação de Contas;Endereço do Projeto;SEI do Plano de Trabalho;SEI do Orçamento Anual;Tem contrapartida?
TCV/002/2006/SEPP/CPLGBTI;Associação da Parada do Orgulho de Gays, Lésbicas, Bissexuais e Transgêneros de São Paulo;Comemoração dos 10 Anos da Parada do Orgulho LGBT de São Paulo;Convênio;;3,30831E+12;09/10/2006;10/11/2006;1;150000;150000;;;-;6,0742E+15;;;;
TCV/002/2007/CADS/CPLGBTI;Associação Cultural Mix Brasil;XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;30/10/2007;22/11/2007;1;130000;130000;;;-;6,0742E+15;;;;
TCV/001/2008/SMPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada LGBT - Retrospectiva de Teatro;Convênio;;7,15797E+12;23/01/2008;26/02/2008;1;22700;22700;;;-;6,0742E+15;;;;
TCV/002/2008/SEPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada Musical GLBTTT;Convênio;;7,15797E+12;00/01/1900;00/01/1900;1;0;0;;;-;-;;;;
TCV/003/2008/SMPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada GLBTTT - Retrospectiva de Cinema;Convênio;;7,15797E+12;23/01/2008;26/02/2008;1;19000;19000;;;-;6,0742E+15;;;;
TCV/005/2008/SMPP/CPLGBTI;Cooperativa Paulista de Teatro;Virada Cultural da Diversidade Humana;Convênio;;5,15618E+13;23/01/2008;26/02/2008;1;29030;29030;;;-;6,0742E+15;;;;
TCV/006/2008/SMPP/CPLGBTI;Associação Mais Diferenças;A Soma de Nós;Convênio;;7,84464E+12;23/01/2008;26/02/2008;1;10000;10000;;;-;6,0742E+15;;;;
TCV/008/2008/SMPP/CPLGBTI;Centro Informação Mulher;Almas em Corpos Nus;Convênio;;5,34546E+13;28/01/2008;29/01/2008;1;24500;24500;;;-;6,0742E+15;;;;
TCV/163/2009/CADS/CPLGBTI;Associação Cultural Mix Brasil;XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;11/11/2009;22/11/2009;1;99490;99490;;;-;6,0742E+15;;;;
TCV/113/2010/SMPP/CONPARES;INDESC: Instituto Nacional de Desenvolvimento Social e Cultural;Programa Escola Estufa Lucy Montoro;Convênio;;07393987000109 ;01/09/2010;30/09/2011;13;1437153;1437153;;;6,0742E+15;6,0742E+15;;;;
TCV/189/2010/SMPP/CPLGBTI;Associação Cultural Mix Brasil;18° Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;10/11/2010;01/02/2011;3;98000;98000;;;-;6,0742E+15;;;;
TCV/001/2011/SMPP/CPD;SPDM - Associação Paulista para o Desenvolvimento da Medicina;Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL;Convênio;;6,16996E+13;28/04/2011;26/04/2012;12;3438431;3438431;;;-;6,0742E+15;;;;
TCV/206/2011/SMPP/CPD;Pró-Saúde - Associação Beneficente de Assistência Social e Hospitalar;Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL;Convênio;;2,42329E+13;01/02/2012;31/03/2013;14;4268941,83;4268941,83;;;6,0742E+15;6,0742E+15;;;;
TCV/042/2012/SMPP/CPJ;Associação Frida Kahlo;Semana do Hip Hop 2012;Convênio;;8,27877E+12;19/03/2012;28/04/2012;1;99750;99750;;;-;6,0742E+15;;;;
TCV/001/2013/SMPIR/CPIR;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Afrobrasilidade, Cultura e Educação na Urbanidade;Convênio;;5,73957E+13;18/10/2013;09/11/2013;1;12000;12000;;;-;6,0742E+15;;;;
TCV/002/2013/SMPIR/CPIR;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Áreas de Conflito em Transformação;Convênio;;5,73957E+13;18/10/2013;17/11/2013;1;22000;22000;;;-;6,0742E+15;;;;
TCV/087/2013/SMDHC/CPJ;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Percursos em Defesa da Diversidade Cultural;Convênio;;5,73957E+13;20/11/2013;19/04/2014;5;100000;100000;;;-;6,0742E+15;;;;
TCV/088/2013/SMDHC/CPJ;Associação Franciscana de Direitos e Formação Popular;Jovens Promotores de Direitos Humanos e Diversidade;Convênio;;1,11406E+13;16/12/2013;13/08/2014;8;77946;77946;;;-;6,0742E+15;;;;
TCV/089/2013/SMDHC/DEDH;Instituto Vladimir Herzog;Respeitar é preciso!;Convênio;;1,11509E+13;01/12/2013;30/11/2015;24;349600;349600;;;-;2,014E+11;;;;
TCV/106/2013/SMDHC/CPDDH;Intervozes - Coletivo Brasil de Comunicação Social;Comunica DH;Convênio;;6,04091E+12;21/01/2014;30/09/2014;8;70568;70568;;;-;6,0742E+15;;;;
TCV/107/2013/SMDHC/CPDDH;OKBR: Open Knowledge Foundation Brasil;Comunica DH;Convênio;;1,91312E+12;20/12/2013;20/06/2014;6;71970;71970;;;-;6,0742E+15;;;;
TCV/108/2013/SMDHC/CPLGBTI;USCS: Universidade Municipal de São Caetano do Sul;Formando para Diversidade;Convênio;;4,43922E+13;02/12/2013;01/12/2014;12;60000;60000;;;-;6,0742E+15;;;;
TCV/019/2014/SMDHC/CPCA;CEDECA: Centro de Defesa dos Direitos Humanos da Criança e Adolescente Interlagos;Projeto Oficina;Convênio;;3,1292E+12;01/07/2014;30/06/2015;12;510434,94;510434,94;;;-;6,0742E+15;;;;
TCV/054/2014/SMDHC/CPPI;ABRAPEFE: Associação Brasileira dos Profissionais de Educação Física e Esporte;Jogos Municipais dos Idosos - JOMI;Convênio;;1,31174E+13;28/10/2014;27/12/2015;14;486000;486000;;;6,0742E+15;6,0742E+15;;;;
TCV/057/2014/SMDHC/CPDDH;Associação Rede Cidadã Multicultural;Capacitação de Entidades;Convênio;;1,12239E+13;01/11/2014;30/10/2015;12;272000;272000;;;6,0742E+15;6,0742E+15;;;;
TCV/058/2014/SMDHC/CPDDH;Instituto de Educação e Direitos Humanos Paulo Freire;Formação de Conselheiros em Direitos Humanos e Participação Social;Convênio;;4,9506E+12;01/01/2015;31/12/2015;12;584241;584241;;;6,0742E+15;6,0742E+15;;;;
TCV/059/2014/SMDHC/CPLGBTI;Associação Cultural Mix Brasil;22° Festival Mix Brasil de Cultura da Diversidade;Convênio;;4,12758E+12;28/10/2014;28/04/2015;6;150000;150000;;;-;6,0742E+15;;;;
