id;numero_termo;aditamento;apostilamento;termo_sei_doc;termo_tipo_sei;termo_outros_sei;criado_em;data_assinatura;total_duplicatas;total_termos_diferentes;termos_afetados
3128;TFM/039/2023/SMDHC/FUMCAD;-;1;103718639;;;2026-01-08 15:39:37.450052;2024-05-20;2;2;TFM/039/2023/SMDHC/FUMCAD, TFM/040/2023/SMDHC/FUMCAD
3129;TFM/040/2023/SMDHC/FUMCAD;-;1;103718639;;;2026-01-08 15:39:37.450052;2024-05-20;2;2;TFM/039/2023/SMDHC/FUMCAD, TFM/040/2023/SMDHC/FUMCAD
3152;TFM/002/2024/SMDHC/FUMCAD;-;1;104070513;;;2026-01-08 15:39:37.450052;2024-05-27;2;2;TFM/002/2024/SMDHC/FUMCAD, TFM/013/2024/SMDHC/FUMCAD
3153;TFM/013/2024/SMDHC/FUMCAD;-;1;104070513;;;2026-01-08 15:39:37.450052;2024-05-27;2;2;TFM/002/2024/SMDHC/FUMCAD, TFM/013/2024/SMDHC/FUMCAD
95;TFM/006/2018/SMDHC/CPPSR;-;-;12899001;;;2026-01-08 15:39:37.450052;2018-11-28;2;2;TFM/006/2018/SMDHC/CPPSR, TFM/006/2018/SMDHC/DEDH
96;TFM/006/2018/SMDHC/DEDH;-;-;12899001;;;2026-01-08 15:39:37.450052;2018-11-30;2;2;TFM/006/2018/SMDHC/CPPSR, TFM/006/2018/SMDHC/DEDH
3576;TFM/043/2025/SMDHC/FUMCAD;1;-;146972527;;;2026-01-08 15:39:37.450052;2025-11-29;4;2;TFM/043/2025/SMDHC/FUMCAD, TFM/196/2024/SMDHC/CPM
3727;TFM/043/2025/SMDHC/FUMCAD;1;-;146972527;;;2026-01-08 15:39:37.450052;2025-11-29;4;2;TFM/043/2025/SMDHC/FUMCAD, TFM/196/2024/SMDHC/CPM
3703;TFM/196/2024/SMDHC/CPM;1;;146972527;;;2026-01-08 15:39:37.450052;2025-11-29;4;2;TFM/043/2025/SMDHC/FUMCAD, TFM/196/2024/SMDHC/CPM
3360;TFM/196/2024/SMDHC/CPM;1;;146972527;;;2026-01-08 15:39:37.450052;2025-11-29;4;2;TFM/043/2025/SMDHC/FUMCAD, TFM/196/2024/SMDHC/CPM
120;TFM/064/2019/SMDHC/CPLGBTI;-;-;23159415;;;2026-01-08 15:39:37.450052;2019-11-14;2;2;TFM/064/2019/SMDHC/CPLGBTI, TFM/068/2019/SMDHC/CPM
119;TFM/068/2019/SMDHC/CPM;-;-;23159415;;;2026-01-08 15:39:37.450052;2019-11-13;2;2;TFM/064/2019/SMDHC/CPLGBTI, TFM/068/2019/SMDHC/CPM
1793;TCV/077/2012/SMPP/FUMCAD;-;-;65688153;;;2026-01-08 15:39:37.450052;2012-05-31;2;2;TCV/077/2012/SMPP/FUMCAD, TCV/230/2011/SMPP/FUMCAD
1740;TCV/230/2011/SMPP/FUMCAD;-;-;65688153;;;2026-01-08 15:39:37.450052;2011-12-01;2;2;TCV/077/2012/SMPP/FUMCAD, TCV/230/2011/SMPP/FUMCAD
26;TCV/019/2014/SMDHC/CPCA;-;-;72468663;;;2026-01-08 15:39:37.450052;2014-06-18;2;2;TCV/019/2014/SMDHC/CPCA, TCV/019/2014/SMDHC/CPPSR
55;TCV/019/2014/SMDHC/CPPSR;-;-;72468663;;;2026-01-08 15:39:37.450052;2014-06-18;2;2;TCV/019/2014/SMDHC/CPCA, TCV/019/2014/SMDHC/CPPSR
67;TCV/064/2016/SMDHC/CPLGBTI;-;-;76099440;;;2026-01-08 15:39:37.450052;2016-08-26;2;2;TCV/064/2016/SMDHC/CPLGBTI, TCV/065/2016/SMDHC/CPJ
68;TCV/065/2016/SMDHC/CPJ;-;-;76099440;;;2026-01-08 15:39:37.450052;2016-08-31;2;2;TCV/064/2016/SMDHC/CPLGBTI, TCV/065/2016/SMDHC/CPJ
2763;TCL/001/2022/SMDHC/COSAN;1;-;83323022;;;2026-01-08 15:39:37.450052;2022-12-12;2;2;TCL/001/2022/SMDHC/COSAN, TCL/002/2022/SMDHC/COSAN
2770;TCL/002/2022/SMDHC/COSAN;1;-;83323022;;;2026-01-08 15:39:37.450052;2022-12-22;2;2;TCL/001/2022/SMDHC/COSAN, TCL/002/2022/SMDHC/COSAN
2764;TCL/001/2022/SMDHC/COSAN;2;-;83323215;;;2026-01-08 15:39:37.450052;2022-12-23;2;2;TCL/001/2022/SMDHC/COSAN, TCL/002/2022/SMDHC/COSAN
2771;TCL/002/2022/SMDHC/COSAN;2;-;83323215;;;2026-01-08 15:39:37.450052;2023-03-15;2;2;TCL/001/2022/SMDHC/COSAN, TCL/002/2022/SMDHC/COSAN
2504;TFM/077/2023/SMDHC/FMID;-;-;90465180;;;2026-01-08 15:39:37.450052;2023-09-11;2;2;TFM/077/2023/SMDHC/FMID, TFM/081/2023/SMDHC/FUMCAD
2500;TFM/081/2023/SMDHC/FUMCAD;-;-;90465180;;;2026-01-08 15:39:37.450052;2023-09-21;2;2;TFM/077/2023/SMDHC/FMID, TFM/081/2023/SMDHC/FUMCAD
