Planilha;Database
TCV/002/2006/SEPP/CPLGBTI;ACP/001/2022/SMDHC/CPJ
TCV/002/2007/CADS/CPLGBTI;ACP/001/2024/SMDHC/CPJ
TCV/001/2008/SMPP/CPLGBTI;ACP/002/2020/SMDHC/CPPI
TCV/002/2008/SMPP/CPLGBT;ACP/002/2021/SMDHC/CPJ
TCV/003/2008/SMPP/CPLGBTI;ACP/002/2023/SMDHC/CPJ
TCV/005/2008/SMPP/CPLGBTI;ACP/003/2022/SMDHC/CPLGBTI
TCV/006/2008/SMPP/CPLGBTI;ACP/004/2019/SMDHC/CPJ
TCV/008/2008/SMPP/CPLGBTI;ACP/004/2022/SMDHC/CPM
TCV/163/2009/CADS/CPLGBTI;ACP/008/2022/SMDHC/CPIR
TCV/113/2010/SMPP/CONPARES;ACP/009/2017/SMDHC/CPIR
TCV/189/2010/SMPP/CPLGBTI;ACP/009/2022/SMDHC/CPM
TCV/001/2011/SMPP/CPD;TCC/1001612601/2021/SMDHC/DLFD
TCV/206/2011/SMPP/CPD;TCL/001/2017/SMDHC/CPLGBTI
TCV/042/2012/SMPP/CPJ;TCL/001/2018/SMDHC/CPCA
TCV/001/2013/SMPIR/CPIR;TCL/001/2019/SMDHC/CPM
TCV/002/2013/SMPIR/CPIR;TCL/001/2020/SMDHC/CPPSR
TCV/087/2013/SMDHC/CPJ;TCL/001/2021/SMDHC/CPIR
TCV/088/2013/SMDHC/CPJ;TCL/001/2022/SMDHC/COSAN
TCV/089/2013/SMDHC/DEDH;TCL/001/2022/SMDHC/FUMCAD
TCV/106/2013/SMDHC/CPDDH;TCL/001/2023/SMDHC/COSAN
TCV/107/2013/SMDHC/CPDDH;TCL/001/2023/SMDHC/ODH
TCV/108/2013/SMDHC/CPLGBTI;TCL/001/2024/SMDHC/SESANA
TCV/019/2014/SMDHC/CPCA;TCL/002/2017/SMDHC/CPLGBTI
TCV/054/2014/SMDHC/CPPI;TCL/002/2018/SMDHC/CPIR
TCV/057/2014/SMDHC/CPDDH;TCL/002/2018/SMDHC/CPPSR
TCV/058/2014/SMDHC/CPDDH;TCL/002/2019/SMDHC/CPM
TCV/059/2014/SMDHC/CPLGBTI;TCL/002/2020/SMDHC/CPIPTD
TCV/060/2014/SMDHC/CPLGBTI;TCL/002/2021/SMDHC/COSAN
TCV/061/2014/SMDHC/SME;TCL/002/2021/SMDHC/CPPSR
TCV/093/2014/SMDHC/CPPSR;TCL/002/2022/SMDHC/COSAN
TCV/104/2014/SMDHC/CPJ;TCL/002/2022/SMDHC/ODH
TCV/006/2015/SMDHC/CPJ;TCL/002/2023/SMDHC/ODH
TCV/007/2015/SMDHC/CPJ;TCL/002/2024/SMDHC/SESANA
TCV/008/2015/SMDHC/CPJ;TCL/003/2016/SMPM/CPM
TCV/009/2015/SMDHC/CPJ;TCL/003/2017/SMDHC/CPLGBTI
TCV/010/2015/SMDHC/CPJ;TCL/003/2018/SMDHC/CPIR
TCV/011/2015/SMDHC/CPJ;TCL/003/2020/SMDHC/CPDDH
TCV/012/2015/SMDHC/CPJ;TCL/003/2021/SMDHC/COSAN
TCV/013/2015/SMDHC/CPJ;TCL/003/2021/SMDHC/ODH
TCV/014/2015/SMDHC/CPJ;TCL/003/2022/SMDHC/CPIR
TCV/016/2015/SMDHC/CPJ;TCL/003/2023/SMDHC/CPPSR
TCV/017/2015/SMDHC/CPJ;TCL/003/2024/SMDHC/SESANA
TCV/018/2015/SMDHC/CPJ;TCL/004/2017/SMDHC/CPLGBTI
TCV/019/2015/SMDHC/CPJ;TCL/004/2018/SMDHC/ODH
TCV/020/2015/SMDHC/CPJ;TCL/004/2019/SMDHC/CPLGBTI
TCV/021/2015/SMDHC/CPJ;TCL/004/2020/SMDHC/CPLGBTI
TCV/022/2015/SMDHC/CPJ;TCL/004/2021/SMDHC/COSAN
TCV/023/2015/SMDHC/CPJ;TCL/004/2022/SMDHC/FUMCAD
TCV/024/2015/SMDHC/CPJ;TCL/004/2023/SMDHC/CPIR
TCV/025/2015/SMDHC/CPJ;TCL/004/2024/SMDHC/SESANA
TCV/019/2014/SMDHC/CPPSR;TCL/005/2017/SMDHC/CPIPTD
TCV/028/2015/SMDHC/CPD;TCL/005/2019/SMDHC/CPLGBTI
TCV/029/2015/SMDHC/CPD;TCL/005/2020/SMDHC/ODH
TCV/040/2015/SMDHC/CPLGBTI;TCL/005/2022/SMDHC/ODH
TCV/043/2015/SMDHC/CPD;TCL/005/2023/SMDHC/ODH
TCV/060/2015/SMDHC/CPD;TCL/005/2024/SMDHC/SESANA
TCV/061/2014/SMDHC/CPIPTD;TCL/006/2019/SMDHC/CPLGBTI
TCV/062/2015/SMDHC/CPD;TCL/006/2020/SMDHC/ODH
TCV/116/2015/SMDHC/CPDDH;TCL/006/2022/SMDHC/ODH
TCV/157/2015/SMDHC/CPLGBTI;TCL/006/2023/SMDHC/SESANA
TCV/158/2015/SMDHC/CPLGBTI;TCL/006/2024/SMDHC/SESANA
TCV/001/2016/SMPM/CPM;TCL/007/2019/SMDHC/CPLGBTI
TCV/064/2016/SMDHC/CPLGBTI;TCL/007/2020/SMDHC/ODH
TCV/065/2016/SMDHC/CPJ;TCL/007/2022/SMDHC/CPJ
TCV/058/2016/SMDHC/CPM;TCL/007/2023/SMDHC/SESANA
TCV/003/2016/SMPM/CPM;TCL/007/2024/SMDHC/SESANA
TCL/003/2016/SMPM/CPM;TCL/008/2019/SMDHC/CPM
TFM/002/2017/SMDHC/CPLGBTI;TCL/008/2022/SMDHC/CPIR
TFM/003/2017/SMDHC/DEDH;TCL/008/2023/SMDHC/SESANA
TFM/052/2018/SMDHC/CPM;TCL/008/2024/SMDHC/SESANA
TFM/071/2018/SMDHC/CPDDH;TCL/009/2022/SMDHC/ODH
TFM/001/2018/SMDHC/DEDH;TCL/009/2023/SMDHC/SESANA
TFM/001/2018/SMDHC/CPIR;TCL/009/2024/SMDHC/SESANA
TFM/002/2018/SMDHC/DEDH;TCL/010/2023/SMDHC/SESANA
TFM/003/2018/SMDHC/DEDH;TCL/010/2024/SMDHC/CPJ
TFM/004/2018/SMDHC/DEDH;TCL/011/2023/SMDHC/SESANA
TFM/005/2018/SMDHC/CPCA;TCL/011/2024/SMDHC/SESANA
TFM/006/2018/SMDHC/CPPSR;TCL/012/2023/SMDHC/SESANA
TFM/006/2018/SMDHC/DEDH;TCL/012/2024/SMDHC/CPPSR
TCL/002/2018/SMDHC/CPPSR;TCL/013/2023/SMDHC/SESANA
TFM/020/2019/SMDHC/CPJ;TCL/013/2024/SMDHC/CPPSR
TFM/030/2019/SMDHC/CPDDH;TCL/014/2023/SMDHC/SESANA
TFM/031/2019/SMDHC/CPDDH;TCL/014/2024/SMDHC/CPM
TFM/041/2019/SMDHC/CPCA;TCL/015/2023/SMDHC/SESANA
TFM/042/2019/SMDHC/CPIPTD;TCL/015/2024/SMDHC/CPM
TFM/045/2019/SMDHC/CPCA;TCL/016/2023/SMDHC/SESANA
TFM/043/2019/SMDHC/CPCA;TCL/016/2024/SMDHC/CPM
TFM/044/2019/SMDHC/CPPSR;TCL/017/2023/SMDHC/SESANA
TFM/048/2019/SMDHC/CPCA;TCL/017/2024/SMDHC/CPM
TFM/049/2019/SMDHC/CPCA;TCL/018/2023/SMDHC/SESANA
TFM/055/2019/SMDHC/CPPSR;TCL/018/2024/SMDHC/CPPI
TFM/058/2019/SMDHC/CPLGBTI;TCL/019/2023/SMDHC/SESANA
TFM/061/2019/SMDHC/CPPSR;TCL/019/2024/SMDHC/CPM
TFM/062/2019/SMDHC/CPCA;TCL/020/2023/SMDHC/SESANA
TFM/063/2019/SMDHC/DEDH;TCL/020/2024/SMDHC/CPLGBTI
TFM/065/2019/SMDHC/CPCA;TCL/021/2023/SMDHC/SESANA
