numero_pesquisa;SEI_pesquisa
1;6074.2025/0004245-3
2;6074.2025/0004259-3
3;6074.2017/0000708-4
4;6074.2025/0005707-8
5;6074.2025/0005861-9
6;6074.2025/0005865-1
7;6074.2025/0005868-6
8;6074.2023/0004024-4
9;6074.2025/0005870-8
10;6074.2025/0006321-3
11;6074.2023/0002327-7
12;6074.2024/0007706-9
13;6074.2024/0007706-9
14;6074.2023/0006590-5
15;6074.2025/0007206-9
16;6074.2025/0007526-2
17;6074.2025/0007625-0
18;6074.2025/0007618-8
19;6074.2025/0007630-7
20;6074.2025/0007685-4
21;6074.2023/0002257-2
22;6074.2023/0004004-0
23;6074.2023/0006585-9
24;6074.2023/0006608-1
25;6074.2023/0006593-0
26;6074.2024/0009553-9
27;6074.2024/0009544-0
28;6074.2024/0007935-5
29;6074.2023/0006614-6
30;6074.2023/0006591-3
31;6074.2023/0006600-6
32;6074.2025/0008101-7
33;6074.2025/0008105-0
34;6074.2025/0008109-2
35;6074.2025/0008147-5
36;6074.2024/0009123-1
37;6074.2025/0008150-5
38;6074.2025/0008175-0
39;6074.2025/0008179-3
40;6074.2025/0008123-8
41;6074.2025/0007526-2
42;6074.2025/0008224-2
43;6074.2023/0006610-3
44;6074.2025/0004260-7
45;6074.2025/0008367-2
46;6074.2025/0008373-7
47;6074.2025/0008375-3
48;6074.2025/0008372-9
49;6074.2025/0008374-5
50;6074.2023/0006584-0
51;6074.2023/0006596-4
52;6074.2023/0006597-2
53;6074.2023/0006611-1
54;6074.2025/0004237-2
55;6074.2025/0008393-1
56;6074.2025/0008388-5
57;6074.2023/0000472-8
58;6074.2022/0001082-3
59;6074.2023/0006615-4
60;6074.2025/0008531-4
61;6074.2023/0006589-1
62;6074.2025/0008534-9
63;6074.2023/0006617-0
64;6074.2025/0008538-1
65;6074.2025/0008389-3
66;6074.2023/0006595-6
67;6074.2025/0008625-6
68;6074.2025/0008583-7
69;6074.2025/0008620-5
70;6074.2023/0006616-2
71;6074.2024/0009553-9
72;6074.2023/0006621-9
73;6074.2025/0008690-6
74;6074.2025/0008686-8
75;6074.2025/0008699-0
76;6074.2025/0008702-3
77;6074.2023/0006598-0
78;6074.2024/0010223-3
79;6074.2025/0008735-0
80;6074.2025/0008723-6
