numero_pesquisa;criado_em;cnpj
1;01/07/2025;61.904.678/0001-93
2;01/07/2025;61.904.678/0001-93
3;07/07/2025;02.072.483/0001-65
4;10/07/2025;51.082.146/0001-64
5;17/07/2025;02.583.012/0001-11
6;17/07/2025;61.608.014/0001-87
7;17/07/2025;03.619.940/0001-51
8;17/07/2025;44.513.328/0001-87
9;17/07/2025;07.581.967/0002-34
10;05/08/2025;51.379.870/0001-54
11;05/09/2025;51.232.221/0001-26
12;09/09/2025;74.137.126/0001-49
13;09/09/2025;74.137.126/0001-49
14;09/09/2025;38.883.732/0001-40
15;10/09/2025;21.360.660/0001-53
16;22/09/2025;61.705.877/0001-72
17;25/09/2025;39.824.833/0001-02
18;25/09/2025;07.707.031/0001-26
19;25/09/2025;08.027.962/0001-46
20;26/09/2025;15.355.260/0019-86
21;30/09/2025;55.446.132/0001-33
22;01/10/2025;04.753.007/0001-35
23;01/10/2025;96.538.103/0001-89
24;06/10/2025;26.674.554/0001-68
25;06/10/2025;53.815.718/0001-00
26;08/10/2025;06.256.776/0001-53
27;08/10/2025;02.928.443/0001-72
28;09/10/2025;04.632.499/0001-00
29;10/10/2025;01.080.256/0001-19
30;10/10/2025;12.772.787/0001-99
31;10/10/2025;44.651.598/0001-54
32;13/10/2025;61.581.773/0001-01
33;13/10/2025;08.343.350/0001-62
34;14/10/2025;04.950.603/0001-05
35;14/10/2025;02.736.449/0001-48
36;14/10/2025;50.959.341/0001-67
37;15/10/2025;02.112.972/0001-01
38;15/10/2025;07.301.538/0001-85
39;15/10/2025;18.070.517/0001-12
40;15/10/2025;19.696.261/0001-16
41;16/10/2025;61.705.877/0001-72
42;17/10/2025;18.974.234/0001-03
43;17/10/2025;45.234.386/0001-34
44;21/10/2025;15.082.986/0001-63
45;22/10/2025;71.729.628/0001-70 
46;22/10/2025;24.960.637/0001-98
47;22/10/2025;42.862.807/0001-83
48;22/10/2025;01.249.618/0001-34
49;22/10/2025;15.740.862/0001-28
50;22/10/2025;01.080.256/0001-19
51;23/10/2025;27.283.445/0001-82
52;23/10/2025;64.616.246/0001-75
53;23/10/2025;04.956.895/0001-93
54;24/10/2025;05.600.632/0001-00
55;24/10/2025;34.276.316/0001-22
56;28/10/2025;06.143.765/0001-67
57;28/10/2025;62.805.759/0001-07
58;29/10/2025;60.598.539/0001-16
59;29/10/2025;05.279.394/0001-82
60;29/10/2025;00.103.221/0001-95
61;29/10/2025;24.866.909/0001-95
62;29/10/2025;18.194.075/0001-16
63;30/10/2025;09.066.012/0001-93
64;30/10/2025;10.303.244/0001-05
65;30/10/2025;23.491.453/0001-63
66;30/10/2025;20.340.419/0001-08
67;03/11/2025;45.795.759/0001-46
68;03/11/2025;05.461.315/0002-30
69;03/11/2025;20.459.428/0001-04
